Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.Lookup (small).HashMapUL.4,8018,2072,31,0,53477376
All.Lookup (small).HashMapUB.4,7874,2062,31,0,53477376
All.Lookup (small).HashMapUU.4,7860,2394,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.5,8085,2326,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.5,8073,2394,31,0,53477376
All.Lookup (small).HashMapBL.5,7995,1706,31,0,53477376
All.Lookup (small).HashMapBB.5,8119,2400,31,0,53477376
All.Lookup (small).HashMapBU.5,8164,1614,31,0,53477376
All.Lookup (small).HashMapUL.5,8158,2472,31,0,53477376
All.Lookup (small).HashMapUB.5,7921,2118,31,0,53477376
All.Lookup (small).HashMapUU.5,8405,1742,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.6,8728,2318,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.6,8598,1942,31,0,53477376
All.Lookup (small).HashMapBL.6,8204,1656,31,0,53477376
All.Lookup (small).HashMapBB.6,8375,1880,31,0,53477376
All.Lookup (small).HashMapBU.6,8613,2776,31,0,53477376
All.Lookup (small).HashMapUL.6,8175,2384,31,0,53477376
All.Lookup (small).HashMapUB.6,8478,2110,31,0,53477376
All.Lookup (small).HashMapUU.6,8773,2762,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.7,8751,2348,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.7,9006,1926,31,0,53477376
All.Lookup (small).HashMapBL.7,8252,1770,31,0,53477376
All.Lookup (small).HashMapBB.7,8354,1986,31,0,53477376
All.Lookup (small).HashMapBU.7,8342,2198,31,0,53477376
All.Lookup (small).HashMapUL.7,8200,1604,31,0,53477376
All.Lookup (small).HashMapUB.7,8268,1848,31,0,53477376
